GVA,LSGG,Europe/Paris,Geneva Switzerland,46.2381,6.1089
GYE,SEGU,Brazil/Acre,Guayaquil Ecuador,-2.1578,-79.8839
GYM,MMGM,US/Central,Guaymas Mexico,27.9689,-110.925
HAJ,EDDV,Europe/Paris,Hannover Germany,52.4608,9.685
HAM,EDDH,Europe/Paris,Hamburg Germany,53.6308,9.9967
HAN,VVGL,Asia/Bangkok,Hanoi Viet Nam,21.2217,105.806
HAV,MUHA,US/Eastern,Havana Cuba,22.9892,-82.4092
HDN,KHDN,US/Mountain,Hayden CO,40.4811,-107.217
HEL,EFHK,Europe/Athens,Helsinki Finland,60.32,24.9561
HIB,KHIB,US/Central,Hibbing MN,47.3864,-92.8389
HKG,VHHH,Asia/Hong_Kong,Hong Kong China,22.3089,113.914
HLN,KHLN,US/Mountain,Helena MT,46.6068,-111.983
HMO,MMHO,US/Mountain,Hermosillo Mexico,29.0958,-111.048
HNL,PHNL,US/Hawaii,Honolulu HI,21.3187,-157.922
HOU,KHOU,US/Central,Houston-Hobby TX,29.6456,-95.2789
HPN,KHPN,US/Eastern,White Plains NY,41.067,-73.7076
HRL,KHRL,US/Central,Harlingen TX,26.2283,-97.6542
HSV,KHSV,US/Central,Huntsville AL,34.6404,-86.7731
HTS,KHTS,US/Eastern,Huntington WV,38.3667,-82.5581
HVN,KHVN,US/Eastern,New Haven CT,41.2636,-72.8867
IAD,KIAD,US/Eastern,Washington-Dulles DC,38.9445,-77.4558
IAH,KIAH,US/Central,Houston-Bush Intercontinental TX,29.9806,-95.3397
ICN,RKSI,Asia/Seoul,Seoul-Inchon South Korea,37.4689,126.45
ICT,KICT,US/Central,Wichita KS,37.65,-97.4331
IDA,KIDA,US/Mountain,Idaho Falls ID,43.5146,-112.07
ILE,KILE,US/Central,Killeen TX,31.0858,-97.6865
ILM,KILM,US/Eastern,Wilmington NC,34.2706,-77.9026
IND,KIND,US/East-Indiana,Indianapolis IN,39.7173,-86.2944
INL,KINL,US/Central,International Falls MN,48.5661,93.4031
ISO,KISO,US/Eastern,Kinston NC,35.3314,-77.6086
ISP,KISP,US/Eastern,Islip NY,40.7953,-73.1003
