"From","To","Days","Dep.","time","Arr.","time","Flightnumber","A/C","Class","stops","via","FlightTime","ServiceType"
"","07-Jun"," 23    ","ALB","1245","ATL","1526","DL4188*","CR7","Y",0,"","2:41","J"
"08-Jun","30-Jun","1234567","ALB","1250","ATL","1529","DL5816*","CR7","Y",0,"","2:39","J"
"01-Jul","","1234567","ALB","1250","ATL","1529","DL5445*","CR7","Y",0,"","2:39","J"
"","07-Jun"," 23    ","ALB","1620","ATL","1904","DL4331*","CRJ","Y",0,"","2:44","J"
"08-Jun","","1234567","ALB","1625","ATL","1909","DL4400*","CR7","Y",0,"","2:44","J"
"","07-Jun"," 23    ","ALB","1835","ATL","2116","DL4343*","CRJ","Y",0,"","2:41","J"
"08-Jun","02-Jul","12345 7","ALB","1840","ATL","2121","DL4753*","CRJ","Y",0,"","2:41","J"
"05-Jul","","12345 7","ALB","1840","ATL","2121","DL4753*","CRJ","Y",0,"","2:41","J"
"TO","Austin   (AUS)  (Austin-Bergstrom International Airport)"
"","07-Jun"," 23    ","ALB","1245","AUS","1727","DL4188*","CR7","Y",1,"ATL","5:42","J"
"TO","Cincinnati   (CVG)  (Cincinnati/Northern Kentucky Airport)"
"08-Jun","03-Jul","123456 ","ALB","0530","CVG","0730","DL5188*","CRJ","Y",0,"","2:00","J"
"05-Jul","","123456 ","ALB","0530","CVG","0730","DL5188*","CRJ","Y",0,"","2:00","J"
"","07-Jun"," 23    ","ALB","0530","CVG","0731","DL5226*","CRJ","Y",0,"","2:01","J"
"","07-Jun"," 23    ","ALB","1040","CVG","1241","DL5204*","CRJ","Y",0,"","2:01","J"
"08-Jun","","1234567","ALB","1100","CVG","1300","DL5204*","CRJ","Y",0,"","2:00","J"
"","07-Jun"," 23    ","ALB","1701","CVG","1902","DL4951*","CRJ","Y",0,"","2:01","J"
"08-Jun","02-Jul","12345 7","ALB","1705","CVG","1906","DL5180*","CRJ","Y",0,"","2:01","J"
"04-Jul","","12345 7","ALB","1705","CVG","1906","DL5180*","CRJ","Y",0,"","2:01","J"
"TO","Dallas   (DFW)  (Dallas/Ft. Worth International Airport)"
"08-Jun","","123456 ","ALB","0610","DFW","1110","DL7477*","319","FY",1,"DTW","6:00","J"
"08-Jun","01-Jul","1234567","ALB","1240","DFW","1712","DL6746*","D93","FY",1,"DTW","5:32","J"
"TO","Dayton   (DAY)  (James Cox Dayton International Airport)"
"08-Jun","29-Jun","1234  7","ALB","1827","DAY","2145","DL3174*","ER3","Y",1,"CLE","3:18","J"
"03-Jul","","1234  7","ALB","1827","DAY","2145","DL3174*","ER3","Y",1,"CLE","3:18","J"
"","07-Jun"," 23    ","ALB","1830","DAY","2137","DL3174*","ER3","Y",1,"CLE","3:07","J"
"TO","Daytona Beach   (DAB)  (Daytona Beach Regional Airport)"
"08-Jun","06-Jul","1234567","ALB","0800","DAB","1235","DL900","732","FY",1,"ATL","4:35","J"
"07-Jul","07-Jul","    5  ","ALB","0800","DAB","1242","DL900","732","FY",1,"ATL","4:42","J"
"01-Jul","","1234567","ALB","1250","DAB","1745","DL5445*","CR7","Y",1,"ATL","4:55","J"
"08-Jun","30-Jun","1234567","ALB","1250","DAB","1747","DL5816*","CR7","Y",1,"ATL","4:57","J"
"TO","Greensboro/High Point   (GSO)  (Piedmont Triad International Airport)"
"08-Jun","30-Jun","12345 7","ALB","1705","GSO","2142","DL5180*","CRJ","Y",1,"CVG","4:37","J"
"TO","Jackson   (JAN)  (Jackson-Evers International Airport)"
"08-Jun","","1234567","ALB","0600","JAN","0955","DL4334*","CR7","Y",1,"ATL","4:55","J"
"TO","Madison   (MSN)  (Dane County Regional Airport)"
"01-Jul","08-Jul","1    6 ","ALB","1100","MSN","1445","DL5204*","CRJ","Y",1,"CVG","4:45","J"
"15-Jul","","     6 ","ALB","1100","MSN","1445","DL5204*","CRJ","Y",1,"CVG","4:45","J"
"TO","Milwaukee   (MKE)  (General Mitchell Airport)"
"08-Jun","","1234567","ALB","1608","MKE","1910","DL6627*","319","FY",1,"DTW","4:02","J"
"TO","Montreal   (YMQ)  (YUL-Pierre Elliott Trudeau International Airport)"
"","07-Jun"," 23    ","ALB","1310","YUL","1612","DL3183*","ERJ","Y",1,"EWR","3:02","J"
"08-Jun","01-Jul","1234567","ALB","1310","YUL","1613","DL3183*","ERJ","Y",1,"EWR","3:03","J"
"03-Jul","","123456 ","ALB","1310","YUL","1613","DL3183*","ERJ","Y",1,"EWR","3:03","J"
"TO","New York   (NYC)  (JFK-John F. Kennedy International Airport)"
"15-Jul","","1234567","ALB","1121","JFK","1240","DL6180*","DH8","Y",0,"","1:19","J"
"TO","Oklahoma City   (OKC)  (Will Rogers Airport)"
"08-Jun","02-Jul","12345 7","ALB","1100","OKC","1527","DL5204*","CRJ","Y",1,"CVG","5:27","J"
"04-Jul","","12345 7","ALB","1100","OKC","1527","DL5204*","CRJ","Y",1,"CVG","5:27","J"
"TO","Philadelphia   (PHL)  (Philadelphia International Airport)"
"15-Jul","","1234567","ALB","1121","PHL","1432","DL6180*","DH8","Y",1,"JFK","3:11","J"
"TO","Providence   (PVD)  (Theodore Francis Airport)"
"05-Jul","","12345  ","ALB","0630","PVD","0913","DL2328*","ERJ","Y",1,"EWR","2:43","J"
"08-Jun","30-Jun","12345  ","ALB","0630","PVD","0923","DL2328*","ERJ","Y",1,"EWR","2:53","J"
"TO","San Antonio   (SAT)  (San Antonio International Airport)"
"","07-Jun"," 23    ","ALB","0530","SAT","1049","DL5226*","CRJ","Y",1,"CVG","6:19","J"
"","07-Jun"," 23    ","ALB","0600","SAT","1056","DL4852*","CR7","Y",1,"ATL","5:56","J"
"TO","Tulsa   (TUL)  (Tulsa International Airport)"
"08-Jun","03-Jul","123456 ","ALB","0530","TUL","0951","DL5188*","CRJ","Y",1,"CVG","5:21","J"
"05-Jul","","123456 ","ALB","0530","TUL","0951","DL5188*","CRJ","Y",1,"CVG","5:21","J"
"TO","Valparaiso   (VPS)  (Ft. Walton Beach Airport)"
"08-Jun","","1234567","ALB","1625","VPS","2005","DL4400*","CR7","Y",1,"ATL","4:40","J"
""
""
"FROM","Albuquerque (ABQ)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
"08-Jun","","1234567","ABQ","0600","ATL","1105","DL934","M88","FY",0,"","3:05","J"
"","07-Jun"," 23    ","ABQ","0730","ATL","1230","DL1426","M88","FY",0,"","3:00","J"
"08-Jun","","1234567","ABQ","0830","ATL","1336","DL1157","M88","FY",0,"","3:06","J"
"08-Jun","","1234567","ABQ","1135","ATL","1653","DL1601","M88","FY",0,"","3:18","J"
"","07-Jun"," 23    ","ABQ","1150","ATL","1656","DL1596","757","FY",0,"","3:06","J"
"","07-Jun"," 23    ","ABQ","1540","ATL","2045","DL485","M88","FY",0,"","3:05","J"
"08-Jun","29-Jun","1234567","ABQ","1555","ATL","2112","DL485","M88","FY",0,"","3:17","J"
"02-Jul","","1234567","ABQ","1555","ATL","2112","DL485","M88","FY",0,"","3:17","J"
"TO","Billings   (BIL)  (Billings Airport)"
"08-Jun","29-Jun","1234567","ABQ","1445","BIL","1839","DL3799*","CRJ","Y",1,"SLC","3:54","J"
